summary;humain score_annotator1;humain score Annotator2
mT5_m2m_crossSum_M002;1.75;1.8
mT5_m2m_crossSum_M003;2.5;2.4
mT5_m2m_crossSum_M004;1.5;2
mT5_m2m_crossSum_M005;1.75;2.2
mT5_m2m_crossSum_M006;1.5;1.4
mT5_m2m_crossSum_M007;2;2.6
mT5_m2m_crossSum_M008;1.5;1.6
mT5_m2m_crossSum_M009;2.5;1.4
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M000;1;1.8
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M001;1;1.8
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M002;1.5;1.4
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M003;1.5;1.8
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M004;1.75;2.6
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M005;1;1.6
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M006;1.5;1.2
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M007;1.25;2
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M008;1.25;1.4
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M009;1.5;1
mT5_multilingual_XLSum_M000;1;1.8
mT5_multilingual_XLSum_M001;2;2.6
mT5_multilingual_XLSum_M002;2;1.8
mT5_multilingual_XLSum_M003;1.75;1.6
mT5_multilingual_XLSum_M004;1.5;2.2
mT5_multilingual_XLSum_M005;2;1.8
mT5_multilingual_XLSum_M006;1.5;1.4
mT5_multilingual_XLSum_M007;1.5;1.4
mT5_multilingual_XLSum_M008;1.25;1.4
mT5_multilingual_XLSum_M009;2;1.4
t5-arabic-text-summarization_M000;1.5;2.2
t5-arabic-text-summarization_M001;1.25;2
t5-arabic-text-summarization_M002;1.5;1.6
t5-arabic-text-summarization_M003;1;1.6
t5-arabic-text-summarization_M004;1.75;1.6
t5-arabic-text-summarization_M005;1;1.4
t5-arabic-text-summarization_M006;1.75;1.4
t5-arabic-text-summarization_M007;1.25;1.4
t5-arabic-text-summarization_M008;1;1.4
t5-arabic-text-summarization_M009;1.25;1
